facility_id,facility_name,lat,lon,region,fuel_tech
ADP,Adelaide Desalination,-35.096948,138.484061,SA1,"[""Solar"", ""Battery""]"
ALDGASF,Aldoga,-23.839544,151.0849,QLD1,"[""Solar""]"
ANGASTON,Angaston,-34.503948,139.024296,SA1,"[""Distillate""]"
APPIN,Appin,-34.210868,150.792711,NSW1,"[""Gas""]"
ARWF,Ararat,-37.263393,143.082116,VIC1,"[""Wind""]"
AVLSF,Avonlie,-34.919115,146.60954,NSW1,"[""Solar""]"
DEIBDL,Bairnsdale,-37.842231,147.563725,VIC1,"[""Gas""]"
BAKING,Baking Board,-26.721166,150.55417,QLD1,"[""Solar""]"
BHWF,Bald Hills,-38.758189,145.956062,VIC1,"[""Wind""]"
BALBESS,Ballarat,-37.567452,143.852741,VIC1,"[""Battery""]"
BANGOWF,Bango,-34.767208,148.921499,NSW1,"[""Wind""]"
BAPS,Banimboola,-36.534524,147.459788,VIC1,"[""Hydro""]"
BANNSP,Bannerton,-34.67263,142.750362,VIC1,"[""Solar""]"
BARCALDN,Barcaldine,-23.552171,145.314851,QLD1,"[""Gas""]"
BARCSF,Barcaldine,-23.547333,145.318972,QLD1,"[""Solar""]"
BARKIPS,Barker Inlet,-34.804,138.524,SA1,"[""Gas""]"
BARRON,Barron Gorge,-16.85077,145.647049,QLD1,"[""Hydro""]"
BASTYAN,Bastyan,-41.736231,145.531589,TAS1,"[""Hydro""]"
BAYSW,Bayswater,-32.393502,150.953963,NSW1,"[""Coal""]"
BBP31,Bell Bay Three,-41.139324,146.905522,TAS1,"[""Gas""]"
BRYB1WF1,Berrybank,-37.980741,143.472217,VIC1,"[""Wind""]"
BERWICK,Berwick,-37.940819,145.236257,VIC1,"[""Bioenergy""]"
BERYLSF,Beryl,-32.347501,149.460738,NSW1,"[""Solar""]"
BIALAWF,Biala,-34.587836,149.369848,NSW1,"[""Wind""]"
BLAYNEY,Blayney,-33.621944,149.198333,NSW1,"[""Wind""]"
SNOWY6,Blowering,-35.397402,148.247225,NSW1,"[""Hydro""]"
BLUEGSF,Blue Grass,-26.691708,150.500037,QLD1,"[""Solar""]"
BLYTHB,Blyth,-33.848475,138.403204,SA1,"[""Battery""]"
BOCOROCK,Boco Rock,-36.574527,149.124863,NSW1,"[""Wind""]"
BODWF,Bodangora,-32.407128,149.04133,NSW1,"[""Wind""]"
MCKAY,Bogong / Mackay,-36.805471,147.227845,VIC1,"[""Hydro""]"
BOLIVAR,Bolivar,-34.495482,138.387641,SA1,"[""Battery"", ""Solar"", ""Bioenergy""]"
BOLIVPS,Bolivar,-34.7772,138.5826,SA1,"[""Gas""]"
BOMENSF,Bomen,-35.0486,147.4439,NSW1,"[""Solar""]"
BBATTERY,Bouldercombe,-23.563443,150.459658,QLD1,"[""Battery""]"
BRAEMARA,Braemar,-27.111669,150.907647,QLD1,"[""Gas""]"
B2PS,Braemar 2,-27.109873,150.907653,QLD1,"[""Gas""]"
BRNDBES,Brendale,-27.329333,152.974384,QLD1,"[""Battery""]"
BWTR1,Broadwater,-29.016483,153.445756,NSW1,"[""Bioenergy""]"
BHILLGT,Broken Hill,-31.986313,141.42062,NSW1,"[""Distillate""]"
BROKENH,Broken Hill,-31.988905,141.391547,NSW1,"[""Solar""]"
BHB,Broken Hill Battery,-31.9863,141.4204,NSW1,"[""Battery""]"
BROOKLYN,Brooklyn,-37.818597,144.828492,VIC1,"[""Bioenergy""]"
BROWNMT,Brown Mountain,-36.594993,149.473997,NSW1,"[""Hydro""]"
